ID,标题,项目,负责人,协作人,状态,优先级,截止时间,完成时间,创建时间,URL,内容
408,Task 407 m5B1V7LB,Project PRJ_129_ZLN,user_335_39Lj2,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
409,Task 408 qRCFcrL9,Project PRJ_115_8NB,user_606_Bshx4,,待处理 / To Do,中 / Medium,2026-01-11 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
410,Task 409 gkOxtUsF,Project PRJ_31_OCV,user_882_0hY7M,,待处理 / To Do,中 / Medium,2026-01-09 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
411,Task 410 USWFTaKE,Project PRJ_65_ARP,user_683_oTCvs,,待处理 / To Do,中 / Medium,2026-01-05 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
412,Task 411 Iu5vGkLU,Project PRJ_161_9RN,user_249_xwoOG,,待处理 / To Do,中 / Medium,2026-01-23 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
414,Task 413 hOPQq0Ub,Project PRJ_75_CIT,user_376_suv1d,,已完成 / Done,中 / Medium,2026-01-13 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
415,Task 414 B0IZu6Fh,Project PRJ_170_6Y7,user_899_fAGce,,已完成 / Done,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
416,Task 415 1JBlKMoJ,Project PRJ_186_QFT,user_407_0H9cS,,待处理 / To Do,中 / Medium,2025-12-29 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
417,Task 416 YHuo6Ma3,Project PRJ_34_K3O,user_54_GBwxb,,待处理 / To Do,中 / Medium,2025-12-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
418,Task 417 6CjjeKpq,Project PRJ_26_PTN,user_729_ijKmq,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
419,Task 418 yZvtek0z,Project PRJ_74_QNH,user_341_QGmj8,,已完成 / Done,中 / Medium,2026-01-06 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
420,Task 419 7UTUHvi9,Project PRJ_149_R4D,user_563_DL0bY,,待处理 / To Do,中 / Medium,2026-01-03 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
421,Task 420 sFK03wTR,Project PRJ_159_MZ5,user_381_nLbER,,待处理 / To Do,中 / Medium,2026-01-12 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
422,Task 421 A9QZTTKB,Project PRJ_163_LFK,user_81_lUUqX,,已完成 / Done,中 / Medium,2026-01-23 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
423,Task 422 PfGHVxeL,Project PRJ_24_4Z0,user_529_e11FE,,已完成 / Done,中 / Medium,2026-01-12 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
424,Task 423 bVdUsW0k,Project PRJ_171_FV6,user_499_6gKBo,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
425,Task 424 yBFrTHMd,Project PRJ_173_US2,user_82_5ciSv,,待处理 / To Do,中 / Medium,2026-01-13 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
426,Task 425 MEOLjdvC,Project PRJ_119_OJT,user_768_4RQii,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
427,Task 426 gmFtKY5Q,Project PRJ_96_W0M,user_84_kELm0,,已完成 / Done,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
428,Task 427 kXeJD0hT,Project PRJ_66_9OF,user_792_fM07U,,待处理 / To Do,中 / Medium,2026-01-23 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
429,Task 428 zI5fJfux,Project PRJ_70_USE,user_416_QMf5V,,待处理 / To Do,中 / Medium,2026-01-22 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
430,Task 429 jZ65y7ZK,Project PRJ_148_SUC,user_227_23ggt,,待处理 / To Do,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
431,Task 430 LEvr10U1,Project PRJ_99_FZP,user_548_r83wf,,待处理 / To Do,中 / Medium,2026-01-18 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
432,Task 431 jCnaCTAs,Project PRJ_82_YNP,user_783_53Rmk,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
433,Task 432 tXTFn8bw,Project PRJ_172_0Z8,user_118_rgW0n,,待处理 / To Do,中 / Medium,2026-01-26 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
434,Task 433 uVXPMRto,Project PRJ_64_VKR,user_797_8mwAo,,阻塞中 / Blocked,中 / Medium,2026-01-26 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
435,Task 434 RrOIOxvx,Project PRJ_45_NCV,user_395_mFTV2,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
436,Task 435 z6ZujTMI,Project PRJ_135_CGN,user_434_MS80p,,待处理 / To Do,中 / Medium,2025-12-31 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
437,Task 436 uYG0qQJL,Project PRJ_85_SDW,user_399_yrlQr,,待处理 / To Do,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
439,Task 438 1TE7D3kh,Project PRJ_181_F4G,user_383_jecL5,,已完成 / Done,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
440,Task 439 wRHnWMZ9,Project PRJ_15_FJI,user_753_Df6d8,,待处理 / To Do,中 / Medium,2025-12-30 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
442,Task 441 QurutAL0,Project PRJ_52_NLX,user_367_ykxY6,,已完成 / Done,中 / Medium,2025-12-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
443,Task 442 MSMSYvpr,Project PRJ_170_6Y7,user_568_UaSAJ,,待处理 / To Do,中 / Medium,2026-01-15 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
444,Task 443 W8YMc9YD,Project PRJ_150_MCO,user_810_zfhcO,,待处理 / To Do,中 / Medium,2026-01-12 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
445,Task 444 9SdMvBZX,Project PRJ_137_P7V,user_304_dUGA7,,待处理 / To Do,中 / Medium,2026-01-09 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
448,Task 447 8jzEG0M1,Project PRJ_151_JNR,user_514_Ur11u,,待处理 / To Do,中 / Medium,2026-01-15 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
449,Task 448 7PLd3gEb,Project PRJ_121_DJC,user_497_8kSbe,,待处理 / To Do,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
450,Task 449 86KzhoCn,Project PRJ_147_DEZ,user_626_Ux1Ld,,待处理 / To Do,中 / Medium,2026-01-12 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
451,Task 450 jGhfXQRN,Project PRJ_83_JB5,user_792_fM07U,,待处理 / To Do,中 / Medium,2026-01-18 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
452,Task 451 jNtPViUc,Project PRJ_62_9XT,user_498_5NLIe,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
453,Task 452 ETLir1eq,Project PRJ_170_6Y7,user_713_aKxSF,,待处理 / To Do,中 / Medium,2026-01-13 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
454,Task 453 LvG46Psw,Project PRJ_98_RQM,user_591_sfLiW,,已完成 / Done,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
455,Task 454 2tkdPPN7,Project PRJ_6_NXT,user_5_0HaBw,,已完成 / Done,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
456,Task 455 hVNnY2ef,Project PRJ_99_FZP,user_134_cyKwU,,已完成 / Done,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
457,Task 456 H5XqBzRE,Project PRJ_64_VKR,user_926_4sHgC,,待处理 / To Do,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
458,Task 457 KxFgtBvJ,Project PRJ_177_NVU,user_504_tyF2j,,待处理 / To Do,中 / Medium,2026-01-06 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
459,Task 458 CUYrJxsQ,Project PRJ_137_P7V,user_80_WZK30,,待处理 / To Do,中 / Medium,2026-01-09 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
461,Task 460 Yk5h0s5E,Project PRJ_182_MGE,user_786_OZuhE,,进行中 / In Progress,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
462,Task 461 tyLzXQyc,Project PRJ_82_YNP,user_498_5NLIe,,待处理 / To Do,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
463,Task 462 lSg7wxHj,Project PRJ_112_EF0,user_330_dhyUM,,进行中 / In Progress,中 / Medium,2026-01-27 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
464,Task 463 xSmgqyCm,Project PRJ_44_VWS,user_690_tEcf3,,待处理 / To Do,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
465,Task 464 zsFDucWw,Project PRJ_115_8NB,user_242_vAbLy,,待处理 / To Do,中 / Medium,2026-01-06 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
466,Task 465 S3kYjuvy,Project PRJ_60_YMQ,user_495_AFGjV,,待处理 / To Do,中 / Medium,2025-12-31 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
467,Task 466 c6OYLK9O,Project PRJ_8_QQD,user_407_0H9cS,,待处理 / To Do,中 / Medium,2026-01-09 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
468,Task 467 3t74BIsI,Project PRJ_189_HPD,user_307_d358S,,待处理 / To Do,中 / Medium,2026-01-05 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
469,Task 468 GT0cm16V,Project PRJ_156_OXB,user_843_FGYl8,,待处理 / To Do,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
470,Task 469 Er9LOaSE,Project PRJ_5_8YD,user_578_kdpaZ,,待处理 / To Do,中 / Medium,2025-12-30 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
471,Task 470 Um5UWegF,Project PRJ_93_K6A,user_147_tcN2u,,待处理 / To Do,中 / Medium,2026-01-05 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
472,Task 471 iZzSNuMK,Project PRJ_132_FXY,user_330_dhyUM,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
473,Task 472 wJvw5Dyi,Project PRJ_86_KVK,user_960_N6uox,,待处理 / To Do,中 / Medium,2026-01-12 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
474,Task 473 o9Jn1L6k,Project PRJ_126_ROM,user_716_XGH8j,,阻塞中 / Blocked,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
475,Task 474 BIMciuJu,Project PRJ_171_FV6,user_468_3KVkK,,阻塞中 / Blocked,中 / Medium,2026-01-27 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
477,Task 476 kbfR11wm,Project PRJ_42_W0P,user_773_C7weZ,,待处理 / To Do,中 / Medium,2026-01-03 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
479,Task 478 sKieNGnA,Project PRJ_44_VWS,user_92_j0iaZ,,待处理 / To Do,中 / Medium,2025-12-29 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
480,Task 479 3LEZZH6e,Project PRJ_55_VOJ,user_52_IGVlZ,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
481,Task 480 jqvgx5Za,Project PRJ_45_NCV,user_821_7TFfj,,待处理 / To Do,中 / Medium,2026-01-22 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
482,Task 481 j4MqSST9,Project PRJ_87_XV3,user_794_GHWfc,,进行中 / In Progress,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
484,Task 483 OsyoSTmQ,Project PRJ_82_YNP,user_522_hWAPA,,已完成 / Done,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
485,Task 484 N7dPEBzT,Project PRJ_74_QNH,user_418_EGiSU,,待处理 / To Do,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
486,Task 485 sh5hHSzy,Project PRJ_155_JDO,user_717_UowbN,,待处理 / To Do,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
487,Task 486 5PrS8dsg,Project PRJ_134_YNF,user_347_HLbzX,,待处理 / To Do,中 / Medium,2026-01-18 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
488,Task 487 vK2pLymS,Project PRJ_174_VYL,user_692_Cuari,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
489,Task 488 sPhzrk7g,Project PRJ_96_W0M,user_885_rjTJ0,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
490,Task 489 y9WtrlTa,Project PRJ_76_NK7,user_463_XhVX0,,待处理 / To Do,中 / Medium,2026-01-05 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
491,Task 490 daVRNIcP,Project PRJ_139_5MM,user_88_6CVbi,,待处理 / To Do,中 / Medium,2026-01-15 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
492,Task 491 j7vHIPpx,Project PRJ_29_W9W,user_889_HCdmt,,待处理 / To Do,中 / Medium,2025-12-27 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
493,Task 492 e7ENT93f,Project PRJ_105_T2I,user_641_Wxmwi,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
496,Task 495 pZvdiHkH,Project PRJ_88_5S0,user_911_6taC8,,待处理 / To Do,中 / Medium,2026-01-03 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
497,Task 496 bwH5XTN1,Project PRJ_87_XV3,user_832_BdND8,,已完成 / Done,中 / Medium,2026-01-10 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
498,Task 497 RpCTH4bb,Project PRJ_18_NEE,user_595_k7nkp,,待处理 / To Do,中 / Medium,2026-01-19 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
499,Task 498 xEWBULW0,Project PRJ_31_OCV,user_60_feXB5,,已完成 / Done,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
500,Task 499 YBdvOJlu,Project PRJ_10_NWR,user_973_so4KO,,待处理 / To Do,中 / Medium,2026-01-22 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
501,Task 500 1HEy62Jb,Project PRJ_12_HFK,user_37_RR1iW,,待处理 / To Do,中 / Medium,2026-01-10 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
502,Task 501 BT5IfuQN,Project PRJ_48_OFT,user_852_y66Pt,,待处理 / To Do,中 / Medium,2026-01-22 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
503,Task 502 3u6UNjT0,Project PRJ_177_NVU,user_374_4Utau,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
504,Task 503 ZgtCka6w,Project PRJ_149_R4D,user_497_8kSbe,,待处理 / To Do,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
505,Task 504 9MGbukAf,Project PRJ_59_QL9,user_535_FOOhv,,待处理 / To Do,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
506,Task 505 CJ3fP1oa,Project PRJ_28_HAX,user_660_nzSvF,,待处理 / To Do,中 / Medium,2026-01-25 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
507,Task 506 PumOT1ma,Project PRJ_171_FV6,user_611_YpYiS,,待处理 / To Do,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
509,Task 508 wlCXQfwb,Project PRJ_27_XOD,user_728_hYA5b,,待处理 / To Do,中 / Medium,2026-01-04 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
510,Task 509 cjvCyl5F,Project PRJ_93_K6A,user_845_ljj2A,,待处理 / To Do,中 / Medium,2026-01-13 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
511,Task 510 hNv4hCf5,Project PRJ_185_HL1,user_148_vf49t,,已完成 / Done,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
512,Task 511 vqjIAJYJ,Project PRJ_94_AS8,user_743_hZJLA,,待处理 / To Do,中 / Medium,2026-01-23 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
513,Task 512 V3VkaKvV,Project PRJ_24_4Z0,user_651_521zd,,待处理 / To Do,中 / Medium,2026-01-13 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
514,Task 513 7VP8N0pZ,Project PRJ_69_MXR,user_664_GyEt0,,待处理 / To Do,中 / Medium,2026-01-11 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
515,Task 514 2asApqNU,Project PRJ_159_MZ5,user_565_dzc9O,,待处理 / To Do,中 / Medium,2026-01-23 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
516,Task 515 DGIExAGB,Project PRJ_20_NGL,user_799_IdTbm,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
517,Task 516 sI5TqBHR,Project PRJ_15_FJI,user_126_PNcCr,,待处理 / To Do,中 / Medium,2026-01-19 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
518,Task 517 zMjcqdwy,Project PRJ_185_HL1,user_510_DuJWK,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
519,Task 518 pFWG034h,Project PRJ_170_6Y7,user_784_UhGDX,,待处理 / To Do,中 / Medium,2026-01-03 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
520,Task 519 gAQzfvLx,Project PRJ_132_FXY,user_416_QMf5V,,待处理 / To Do,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
521,Task 520 pDLNQGuR,Project PRJ_174_VYL,user_430_RQJ6w,,待处理 / To Do,中 / Medium,2026-01-03 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
523,Task 522 MIztS8x5,Project PRJ_48_OFT,user_503_P1464,,待处理 / To Do,中 / Medium,2026-01-11 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
525,Task 524 tPm5b6qs,Project PRJ_106_ZUY,user_610_dUMYc,,待处理 / To Do,中 / Medium,2026-01-27 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
526,Task 525 k86HnGOn,Project PRJ_65_ARP,user_67_EbozH,,待处理 / To Do,中 / Medium,2026-01-05 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
527,Task 526 42LYE6Ee,Project PRJ_103_M7T,user_940_MCeT0,,待处理 / To Do,中 / Medium,2026-01-11 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
529,Task 528 bqWpzhZM,Project PRJ_123_IEH,user_300_Kak6l,,待处理 / To Do,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
530,Task 529 EflCwqUR,Project PRJ_53_OPN,user_708_xjUdh,,待处理 / To Do,中 / Medium,2026-01-16 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
531,Task 530 AAkeVb1s,Project PRJ_154_E4E,user_313_pFOoR,,已完成 / Done,中 / Medium,2026-01-01 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
532,Task 531 qY9fDoR9,Project PRJ_170_6Y7,user_574_zr1uj,,待处理 / To Do,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
534,Task 533 2LbOat53,Project PRJ_143_QL6,user_409_Zkjp9,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
535,Task 534 2F8Oo81T,Project PRJ_107_RYE,user_537_ZESYF,,待处理 / To Do,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
536,Task 535 n49eGIpM,Project PRJ_194_OSL,user_301_4xD74,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
537,Task 536 q66HlsM9,Project PRJ_0_9CW,user_891_SkhNi,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
538,Task 537 HbZq81GT,Project PRJ_194_OSL,user_885_rjTJ0,,待处理 / To Do,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
539,Task 538 Jyi8Pd87,Project PRJ_25_XDR,user_520_RikRW,,已完成 / Done,中 / Medium,2026-01-27 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
540,Task 539 8H7jzBY4,Project PRJ_54_HM5,user_245_x7hGF,,待处理 / To Do,中 / Medium,2026-01-09 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
541,Task 540 Jt6a3S1C,Project PRJ_138_TLV,user_603_W8y0y,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
543,Task 542 P1P7pZ63,Project PRJ_24_4Z0,user_766_QNE0I,,待处理 / To Do,中 / Medium,2026-01-08 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
544,Task 543 z8ymm6fo,Project PRJ_48_OFT,user_785_s0vVi,,待处理 / To Do,中 / Medium,2026-01-04 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
545,Task 544 8EkWNbaH,Project PRJ_62_9XT,user_916_bKwtd,,待处理 / To Do,中 / Medium,2026-01-09 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
547,Task 546 qojfvaxN,Project PRJ_19_TOW,user_834_mNngZ,,待处理 / To Do,中 / Medium,2026-01-04 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
548,Task 547 OGwO6TIn,Project PRJ_31_OCV,user_130_z3pyv,,待处理 / To Do,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
550,Task 549 fwe01UTX,Project PRJ_131_WQZ,user_181_MPoME,,待处理 / To Do,中 / Medium,2026-01-08 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
551,Task 550 d7G7S79y,Project PRJ_119_OJT,user_408_TgHkW,,待处理 / To Do,中 / Medium,2026-01-14 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
552,Task 551 oLRYt9c9,Project PRJ_8_QQD,user_607_VnmAV,,阻塞中 / Blocked,中 / Medium,2026-01-26 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
553,Task 552 yrdkq3IR,Project PRJ_62_9XT,user_712_ibBOK,,待处理 / To Do,中 / Medium,2026-01-11 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
554,Task 553 dGYkXOgV,Project PRJ_176_T4O,user_712_ibBOK,,进行中 / In Progress,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
555,Task 554 YwSDSThJ,Project PRJ_44_VWS,user_684_wrYS1,,待处理 / To Do,中 / Medium,2026-01-19 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
556,Task 555 pwQwpsNO,Project PRJ_66_9OF,user_712_ibBOK,,待处理 / To Do,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
558,Task 557 SZEAEYTH,Project PRJ_26_PTN,user_277_DOGDg,,待处理 / To Do,中 / Medium,2026-01-10 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
559,Task 558 uFT6Yhum,Project PRJ_34_K3O,user_2_YKmEy,,待处理 / To Do,中 / Medium,2026-01-15 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
560,Task 559 dAZuHJuP,Project PRJ_174_VYL,user_316_EDupk,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
561,Task 560 SYkPDSGX,Project PRJ_100_ECJ,user_164_jl8T2,,待处理 / To Do,中 / Medium,2025-12-29 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
562,Task 561 ivdNebYa,Project PRJ_178_KUH,user_256_6aF3Y,,待处理 / To Do,中 / Medium,2026-01-12 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
563,Task 562 WGN2aTn6,Project PRJ_6_NXT,user_346_kMr8V,,已完成 / Done,中 / Medium,2026-01-20 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
564,Task 563 hd7yl0V0,Project PRJ_110_J8D,user_749_Tlj9H,,待处理 / To Do,中 / Medium,2026-01-28 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
565,Task 564 tYsHQp0u,Project PRJ_150_MCO,user_755_ckEVY,,待处理 / To Do,中 / Medium,2026-01-06 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
566,Task 565 kkSWKDoy,Project PRJ_94_AS8,user_958_rryAG,,已完成 / Done,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
567,Task 566 F6UrORQk,Project PRJ_117_FBU,user_184_FMIul,,待处理 / To Do,中 / Medium,2026-01-09 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
568,Task 567 ywMacPfK,Project PRJ_141_T4V,user_561_SQtuF,,待处理 / To Do,中 / Medium,2026-01-21 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
569,Task 568 jXASHjf5,Project PRJ_109_9LQ,user_881_7WRwV,,待处理 / To Do,中 / Medium,2026-01-17 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
570,Task 569 sZi8uHoj,Project PRJ_44_VWS,user_201_R2tBy,,待处理 / To Do,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
572,Task 571 p1RKYb6n,Project PRJ_52_NLX,user_895_7fX7s,,已完成 / Done,中 / Medium,2026-01-23 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
574,Task 573 QuBMNGf7,Project PRJ_156_OXB,user_97_wrsYW,,待处理 / To Do,中 / Medium,2026-01-18 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
575,Task 574 muQ5onj7,Project PRJ_160_HGY,user_356_oyhaP,,已完成 / Done,中 / Medium,2026-01-22 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
576,Task 575 qbGtyWGg,Project PRJ_21_SIH,user_179_wgwSM,,待处理 / To Do,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
577,Task 576 Z7lDUafK,Project PRJ_23_TZY,user_229_SrQEO,,待处理 / To Do,中 / Medium,2026-01-11 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
578,Task 577 KD11MlBA,Project PRJ_47_JW4,user_406_ZW4Lc,,已完成 / Done,中 / Medium,2026-01-07 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
579,Task 578 9BmU3aJK,Project PRJ_183_OGB,user_859_MOAxr,,待处理 / To Do,中 / Medium,2026-01-24 09:23:47,,2026-01-28 01:03:58,,Auto generated task content.
